"Air","Mechanical"
"Air/Dehumidifier","Mechanical/Dehumidifier"
"Air/Desiccant","Materials/Desiccant"
"Air/Electric dehumidifier","Electrical Electronics/Electric dehumidifier"
"Boating books","Nautical publications"
"Boating books/Publication","Nautical publications/Publication"
"Boating books/Technical stationery","Nautical publications/Logbook"
"Charts maps pilots","Nautical publications"
"Charts maps pilots/Navigational publication","Nautical publications/Navigational publication"
"Clothing/Headwear","Personal-Clothing/Cap"
"Communications","Electrical Electronics"
"Communications/Backing","Hardware/Backing"
"Communications/Bell","Domesticware/Bell"
"Communications/Bell lanyard","Domesticware/Bell lanyard"
"Communications/Ships bell","Safety Security Emergency/Ships bell"
"Communications/Transceiver","Electrical Electronics/Transceiver"
"Deck gear/Backing","Hardware/Backing"
"Deck gear/Block","Deck gear/Block"
"Deck gear/Seat","Deck equipment/Seat"
"Deck hardware","Hardware"
"Deck hardware/Carabiner","Hardware/Carabiner"
"Deck hardware/Eye fastener","Hardware/Eye fastener"
"Deck hardware/Eye plate","Hardware/Eye plate"
"Deck hardware/Pin","Hardware/Pin"
"Deck hardware/Ring fastener","Hardware/Ring fastener"
"Deck hardware/Shackle","Hardware/Shackle"
"Deck hardware/U fastener","Hardware/U fastener"
"Domesticware/Drinkware","Domesticware/Mug"
"Domesticware/Furnishing","Domesticware/Mat"
"Domesticware/Sign","Domesticware/Brass sign"
"Emergency equipment","Safety Security Emergency"
"Emergency equipment/Lifebuoy","Safety Security Emergency/Lifebuoy"
"Emergency equipment/Poster","Safety Security Emergency/Poster"
"Engine","Mechanical"
"Engine/Shear pin","Mechanical/Shear pin"
"Fastner","Hardware"
"Fastner/Machine screw","Hardware/Machine screw"
"Footwear","Clothing"
"Footwear/Deck shoes","Clothing/Deck shoes"
"Footwear/Sailing boots","Clothing/Sailing boots"
"Footwear/Sandals","Clothing/Sandals"
"Fuel","Mechanical"
"Fuel/Indicator","Mechanical/Indicator"
"Fuel/Tank","Mechanical/Tank"
"Interior decoration","Domesticware"
"Interior decoration/Model","Personal equipment/Model boat"
"Interior decoration/Ornament","Domesticware/Ornament"
"Maintenance","Hardware"
"Maintenance/Absorbant","Materials/Absorbant"
"Maintenance/Brush head","Hardware/Brush head"
"Maintenance/Cleaning cloth","Hardware/Cleaning cloth"
"Maintenance/Hand brush","Hardware/Hand brush"
"Maintenance/Mop","Hardware/Mop"
"Marine hardware","Hardware"
"Marine hardware/Nut","Hardware/Nut"
"Marine hardware/Plumbing fitting","Hardware/Plumbing fitting"
"Navigation equipment","Instruments"
"Navigation equipment/Clock","Instruments/Clock"
"Navigation equipment/Sextant","Instruments/Sextant"
"Navigation equipment/Weatherstation","Instruments/Weatherstation"
"Personal equipment/Activator","Safety Security Emergency/Lifejacket inflation activator"
"Personal equipment/Buoyancy aid","Safety Security Emergency/Buoyancy aid"
"Personal equipment/Lifejacket","Safety Security Emergency/Lifejacket"
"Personal equipment/Override device","Safety Security Emergency/Override device"
"Personal equipment/Re-arm kit","Safety Security Emergency/Re-arm kit"
"Personal equipment/Security strap","Safety Security Emergency/Lifejacket security strap"
"Personal gear","Personal equipment"
"Personal gear/Astronomical device","Instruments/Astronomical device"
"Personal gear/Bed","Domesticware/Bed"
"Personal gear/Eyewear","Personal equipment/Sunglasses"
"Personal gear/Game","Domesticware/Game"
"Personal gear/Jewellery","Personal equipment/Jewellery"
"Personal gear/Magnifier","Instruments/Magnifier"
"Personal gear/Stationery","Domesticware/Stationery"
"Personal gear/Sundial","Instruments/Sundial"
"Personal gear/Telescope","Instruments/Telescope"
"Personal gear/Water toy","Deck equipment/Towable toy"
"Rig","Deck gear"
"Rig/Boom strut","Deck gear/Boom strut"
"Running rigging","Deck gear"
"Running rigging/Bearing ball","Deck gear/Traveller car bearing ball"
"Running rigging/Block","Deck gear/Block"
"Running rigging/Block mount","Deck gear/Block mount"
"Running rigging/Car","Deck gear/Traveller car"
"Running rigging/Car stop","Deck gear/Traveller car stop"
"Running rigging/Clutch","Deck gear/Clutch"
"Running rigging/End cap","Deck gear/Traveller track end cap"
"Running rigging/Line guide","Deck gear/Winch line guide"
"Running rigging/Organiser","Deck gear/Organiser"
"Running rigging/Plate assembly","Deck gear/Plate assembly"
"Running rigging/Rope","Deck gear/Rope"
"Running rigging/Sheave","Deck gear/Sheave"
"Running rigging/Traveller assembly","Deck gear/Traveller assembly"
"Running rigging/Traveller track","Deck gear/Traveller track"
"Running rigging/Winch handle","Deck gear/Winch handle"
"Surface protection","Materials"
"Surface protection/Solvent","Materials/Solvent"
"Surface protection/Surface coating","Materials/Antifouling paint"
"Weather","Instruments"
"Weather equipment","Instruments"
"Weather equipment/Barometer","Instruments/Barometer"
"Weather equipment/Comfortmeter","Instruments/Comfortmeter"
"Weather equipment/Hygrometer","Instruments/Hygrometer"
"Weather equipment/Thermometer","Instruments/Thermometer"
"Weather equipment/Weatherstation","Instruments/Weatherstation"
"Weather/Anemometer","Instruments/Anemometer"
